ticket_id,text,channel,customer_tier,product_area,sentiment_score,account_age_days,priority
TCKT-00371,I need help finding the invoice download button. Please respond as soon as possible.,chat,standard,performance,-0.129,1243,low
TCKT-00211,"Minor typo in the help page, no urgent impact.",web,free,login,0.001,1767,medium
TCKT-00236,I need help finding the invoice download button.,chat,free,integrations,0.39,448,low
TCKT-00547,Export file is missing some recent records.,phone,standard,performance,0.127,1362,medium
TCKT-00061,Question about updating my profile picture. Please respond as soon as possible.,chat,free,login,0.239,988,low
TCKT-00301,Dashboard is slow and several charts time out. Please respond as soon as possible.,web,standard,payments,-0.276,945,medium
TCKT-00260,Production outage: all users cannot log in. Please respond as soon as possible. Customer impact is increasing.,email,enterprise,payments,-0.738,1878,medium
TCKT-00281,Integration stopped syncing for one workspace. Please respond as soon as possible.,chat,standard,login,-0.111,307,medium
TCKT-00229,Export file is missing some recent records.,email,enterprise,login,-0.061,2136,medium
TCKT-00012,Critical API errors affecting premium customers.,phone,premium,login,-0.776,178,high
TCKT-00413,Integration stopped syncing for one workspace.,web,standard,performance,-0.182,2060,medium
TCKT-00084,Dashboard is slow and several charts time out.,email,standard,performance,-0.377,425,medium
TCKT-00091,Enterprise customer reports data loss after migration. Customer impact is increasing.,email,enterprise,security,-0.821,1181,high
TCKT-00209,Question about updating my profile picture. Please respond as soon as possible.,email,standard,security,0.353,730,low
TCKT-00539,Dashboard is slow and several charts time out.,phone,standard,login,-0.283,1318,medium
TCKT-00336,How can I change my notification settings?,email,free,integrations,-0.05,1975,low
TCKT-00080,Question about updating my profile picture.,email,enterprise,billing,0.235,649,low
TCKT-00435,Production outage: all users cannot log in.,email,premium,performance,-0.592,1096,medium
TCKT-00141,Export file is missing some recent records.,email,free,billing,-0.074,1757,medium
TCKT-00282,Question about updating my profile picture. Please respond as soon as possible.,chat,standard,integrations,0.554,1669,low
TCKT-00269,User cannot reset password after multiple attempts.,email,premium,integrations,-0.126,134,medium
TCKT-00415,Payment processing is down for all regions. Please respond as soon as possible.,phone,premium,payments,-0.657,684,high
TCKT-00200,User cannot reset password after multiple attempts. Please respond as soon as possible.,email,standard,payments,-0.289,1486,medium
TCKT-00465,Where can I see the product documentation? Please respond as soon as possible.,phone,free,billing,0.544,455,low
TCKT-00576,How can I change my notification settings? Please respond as soon as possible. Customer impact is increasing.,email,enterprise,integrations,0.528,707,low
TCKT-00585,User cannot reset password after multiple attempts.,web,premium,performance,-0.31,2175,medium
TCKT-00372,User cannot reset password after multiple attempts.,email,standard,performance,0.291,727,medium
TCKT-00400,Question about updating my profile picture.,email,free,integrations,0.322,1354,low
TCKT-00341,Dashboard is slow and several charts time out.,phone,premium,performance,0.218,1189,medium
TCKT-00149,Export file is missing some recent records.,chat,standard,billing,-0.175,1939,medium
TCKT-00495,Where can I see the product documentation?,web,enterprise,performance,-0.039,1945,low
TCKT-00440,Where can I see the product documentation? Please respond as soon as possible.,email,free,security,0.161,449,low
TCKT-00146,Payment failed for one customer but retry worked later. Please respond as soon as possible.,chat,standard,billing,0.009,1251,medium
TCKT-00010,Enterprise customer reports data loss after migration. Please respond as soon as possible. Customer impact is increasing.,chat,standard,payments,-0.715,2064,high
TCKT-00376,Payment processing is down for all regions. Please respond as soon as possible.,email,enterprise,performance,-0.357,1097,high
TCKT-00524,User cannot reset password after multiple attempts. Please respond as soon as possible.,email,premium,login,-0.432,1215,medium
TCKT-00189,Dashboard is slow and several charts time out. Customer impact is increasing.,web,standard,security,0.439,1323,medium
TCKT-00132,Security incident with suspicious account access.,web,enterprise,security,-0.482,1002,high
TCKT-00573,Integration stopped syncing for one workspace. Customer impact is increasing.,email,enterprise,billing,-0.217,1604,medium
TCKT-00299,Payment failed for one customer but retry worked later.,web,premium,payments,0.099,1119,medium
TCKT-00587,Payment failed for one customer but retry worked later. Please respond as soon as possible.,email,standard,performance,0.799,1527,medium
TCKT-00447,Enterprise customer reports data loss after migration.,web,premium,login,-0.223,836,high
TCKT-00085,How can I change my notification settings? Customer impact is increasing.,email,free,integrations,0.303,1048,low
TCKT-00593,Export file is missing some recent records. Please respond as soon as possible.,web,standard,security,-0.365,100,medium
TCKT-00178,"Minor typo in the help page, no urgent impact.",chat,free,integrations,0.191,1340,low
TCKT-00154,Question about updating my profile picture.,email,premium,login,0.287,1987,low
TCKT-00453,Integration stopped syncing for one workspace. Please respond as soon as possible.,chat,premium,integrations,-0.476,1839,medium
TCKT-00197,Integration stopped syncing for one workspace.,email,free,login,0.174,987,medium
TCKT-00076,How can I change my notification settings?,chat,enterprise,integrations,0.43,1109,low
TCKT-00093,User cannot reset password after multiple attempts.,email,premium,payments,-0.14,1249,medium
TCKT-00297,Security incident with suspicious account access. Please respond as soon as possible.,phone,premium,security,-0.166,379,high
TCKT-00069,How can I change my notification settings?,chat,enterprise,performance,0.03,276,low
TCKT-00016,Production outage: all users cannot log in. Customer impact is increasing.,chat,enterprise,performance,-0.804,1195,high
TCKT-00205,Dashboard is slow and several charts time out.,web,enterprise,login,-0.676,1672,medium
TCKT-00159,How can I change my notification settings?,web,enterprise,login,-0.118,1240,low
TCKT-00089,Export file is missing some recent records.,email,free,performance,0.419,1559,medium
TCKT-00498,Where can I see the product documentation?,chat,free,login,0.234,849,low
TCKT-00118,Payment processing is down for all regions.,web,premium,security,-1.0,1200,high
TCKT-00383,How can I change my notification settings? Customer impact is increasing.,phone,standard,integrations,0.82,1743,low
TCKT-00406,Dashboard is slow and several charts time out.,chat,standard,login,-0.076,468,medium
TCKT-00034,User cannot reset password after multiple attempts.,chat,standard,performance,-0.131,553,medium
TCKT-00001,User cannot reset password after multiple attempts. Customer impact is increasing.,phone,premium,billing,0.125,968,medium
TCKT-00594,"Minor typo in the help page, no urgent impact. Customer impact is increasing.",phone,standard,login,0.385,1620,low
TCKT-00532,Integration stopped syncing for one workspace.,chat,free,login,-0.02,1275,medium
TCKT-00354,User cannot reset password after multiple attempts. Customer impact is increasing.,web,premium,integrations,-0.044,1789,medium
TCKT-00333,Payment failed for one customer but retry worked later. Please respond as soon as possible. Customer impact is increasing.,email,enterprise,performance,-0.325,990,medium
TCKT-00535,Critical API errors affecting premium customers. Please respond as soon as possible.,chat,premium,payments,-0.511,166,high
TCKT-00245,Payment processing is down for all regions.,email,enterprise,integrations,-0.225,1004,high
TCKT-00023,Dashboard is slow and several charts time out. Please respond as soon as possible. Customer impact is increasing.,email,premium,billing,-0.102,2138,medium
TCKT-00441,How can I change my notification settings?,web,enterprise,performance,0.086,821,low
TCKT-00117,Where can I see the product documentation? Please respond as soon as possible.,web,free,security,0.282,1203,low
TCKT-00090,Where can I see the product documentation? Please respond as soon as possible. Customer impact is increasing.,chat,free,integrations,0.024,1118,low
TCKT-00366,Dashboard is slow and several charts time out. Please respond as soon as possible.,web,enterprise,payments,-0.536,1730,low
TCKT-00212,Security incident with suspicious account access. Please respond as soon as possible.,chat,enterprise,payments,-0.491,1211,high
TCKT-00019,Integration stopped syncing for one workspace.,email,standard,login,-0.346,819,medium
TCKT-00408,Question about updating my profile picture.,chat,free,integrations,0.592,1373,low
TCKT-00321,"Minor typo in the help page, no urgent impact.",email,enterprise,payments,0.101,1468,low
TCKT-00145,Export file is missing some recent records. Please respond as soon as possible.,web,premium,billing,0.078,1358,medium
TCKT-00290,Production outage: all users cannot log in.,email,enterprise,performance,-0.177,332,high
TCKT-00275,I need help finding the invoice download button.,web,free,integrations,0.607,1983,low
TCKT-00542,Export file is missing some recent records.,phone,premium,integrations,0.268,1130,medium
TCKT-00361,Dashboard is slow and several charts time out. Please respond as soon as possible.,email,standard,billing,0.107,1052,low
TCKT-00251,Payment failed for one customer but retry worked later.,chat,premium,performance,-0.097,282,medium
TCKT-00288,Critical API errors affecting premium customers.,email,standard,performance,-0.448,1769,high
TCKT-00529,Critical API errors affecting premium customers.,phone,standard,security,-0.224,2016,high
TCKT-00401,Dashboard is slow and several charts time out.,web,premium,performance,0.159,614,medium
TCKT-00168,Payment processing is down for all regions. Please respond as soon as possible.,email,premium,performance,-0.591,419,high
TCKT-00055,Integration stopped syncing for one workspace.,chat,standard,performance,-0.185,1160,medium
TCKT-00494,"Minor typo in the help page, no urgent impact. Please respond as soon as possible.",email,premium,login,0.435,47,low
TCKT-00047,Export file is missing some recent records. Customer impact is increasing.,email,premium,security,-0.218,2119,low
TCKT-00094,Export file is missing some recent records.,web,free,billing,-0.007,211,medium
TCKT-00265,Where can I see the product documentation?,email,free,security,0.303,1347,low
TCKT-00109,Question about updating my profile picture.,email,premium,payments,-0.383,1232,low
TCKT-00273,Question about updating my profile picture.,email,free,integrations,-0.01,83,low
TCKT-00600,Where can I see the product documentation?,web,standard,payments,0.505,30,low
TCKT-00480,Where can I see the product documentation? Please respond as soon as possible. Customer impact is increasing.,email,standard,integrations,0.51,1127,low
TCKT-00437,"Minor typo in the help page, no urgent impact.",phone,free,security,0.248,1927,low
TCKT-00384,Question about updating my profile picture.,chat,standard,performance,-0.082,686,low
TCKT-00381,Question about updating my profile picture. Please respond as soon as possible.,email,standard,integrations,0.118,582,low
TCKT-00463,"Minor typo in the help page, no urgent impact.",email,free,performance,-0.079,1540,low
TCKT-00395,Production outage: all users cannot log in.,email,premium,payments,-0.367,1064,high
TCKT-00266,Integration stopped syncing for one workspace.,chat,standard,login,-0.111,1177,medium
TCKT-00481,Integration stopped syncing for one workspace.,phone,free,integrations,-0.035,530,high
TCKT-00518,Payment failed for one customer but retry worked later.,chat,enterprise,performance,0.393,16,medium
TCKT-00070,User cannot reset password after multiple attempts.,email,standard,billing,-0.288,191,medium
TCKT-00232,How can I change my notification settings? Please respond as soon as possible.,email,standard,login,0.069,1980,low
TCKT-00404,Dashboard is slow and several charts time out.,email,standard,billing,0.403,547,medium
TCKT-00279,Dashboard is slow and several charts time out. Please respond as soon as possible.,chat,enterprise,billing,-0.332,2118,medium
TCKT-00473,Critical API errors affecting premium customers. Please respond as soon as possible.,email,enterprise,billing,-0.678,2149,high
TCKT-00351,How can I change my notification settings?,phone,enterprise,integrations,0.807,753,low
TCKT-00510,Production outage: all users cannot log in.,email,standard,performance,-0.363,1901,high
TCKT-00150,Payment processing is down for all regions.,chat,enterprise,login,-0.449,1147,medium
TCKT-00125,How can I change my notification settings?,web,enterprise,security,0.201,934,low
TCKT-00429,Question about updating my profile picture. Please respond as soon as possible.,chat,standard,integrations,0.268,1031,high
TCKT-00466,User cannot reset password after multiple attempts.,chat,free,performance,-0.343,449,medium
TCKT-00186,Export file is missing some recent records.,web,premium,login,0.192,934,medium
TCKT-00228,Security incident with suspicious account access.,email,premium,integrations,-0.553,1047,high
TCKT-00292,Integration stopped syncing for one workspace. Please respond as soon as possible.,phone,premium,performance,-0.389,634,medium
TCKT-00248,"Minor typo in the help page, no urgent impact. Customer impact is increasing.",email,free,login,0.487,813,low
TCKT-00291,Integration stopped syncing for one workspace.,chat,enterprise,performance,-0.643,1539,medium
TCKT-00250,Payment failed for one customer but retry worked later. Please respond as soon as possible.,web,standard,billing,0.031,2002,medium
TCKT-00444,"Minor typo in the help page, no urgent impact. Please respond as soon as possible.",email,standard,billing,0.431,383,low
TCKT-00552,"Minor typo in the help page, no urgent impact.",chat,free,login,0.374,2111,low
TCKT-00553,Question about updating my profile picture. Please respond as soon as possible.,email,free,performance,0.481,1440,low
TCKT-00551,Critical API errors affecting premium customers.,email,enterprise,login,-0.949,449,high
TCKT-00115,Enterprise customer reports data loss after migration.,chat,standard,billing,-0.344,718,high
TCKT-00204,User cannot reset password after multiple attempts. Please respond as soon as possible.,chat,standard,performance,-0.198,75,medium
TCKT-00142,Export file is missing some recent records.,web,enterprise,login,0.405,1701,medium
TCKT-00339,I need help finding the invoice download button.,chat,free,performance,0.696,1434,low
TCKT-00008,Integration stopped syncing for one workspace.,chat,standard,payments,0.076,2183,high
TCKT-00522,Integration stopped syncing for one workspace.,chat,free,login,-0.116,1563,medium
TCKT-00020,Production outage: all users cannot log in.,phone,enterprise,security,-0.664,366,high
TCKT-00173,Payment processing is down for all regions.,phone,premium,billing,-0.867,1564,high
TCKT-00452,Payment failed for one customer but retry worked later.,email,free,billing,-0.015,684,medium
TCKT-00057,Export file is missing some recent records. Please respond as soon as possible.,email,free,login,0.084,620,low
TCKT-00302,Payment failed for one customer but retry worked later. Please respond as soon as possible.,email,standard,payments,-0.227,79,medium
TCKT-00337,Security incident with suspicious account access.,chat,enterprise,integrations,-0.52,1737,high
TCKT-00451,How can I change my notification settings?,chat,free,login,0.286,68,low
TCKT-00323,Question about updating my profile picture. Customer impact is increasing.,web,free,login,0.708,270,low
TCKT-00311,I need help finding the invoice download button. Please respond as soon as possible.,phone,free,billing,0.64,1921,medium
TCKT-00050,Dashboard is slow and several charts time out. Customer impact is increasing.,email,enterprise,performance,0.416,908,medium
TCKT-00345,User cannot reset password after multiple attempts.,email,standard,billing,0.278,2021,medium
TCKT-00026,Payment failed for one customer but retry worked later. Please respond as soon as possible.,chat,enterprise,security,-0.425,1396,medium
TCKT-00443,"Minor typo in the help page, no urgent impact.",email,free,integrations,0.956,1874,low
TCKT-00221,Question about updating my profile picture.,chat,premium,performance,0.364,1048,low
TCKT-00484,Payment failed for one customer but retry worked later.,email,standard,login,0.018,661,medium
TCKT-00541,"Minor typo in the help page, no urgent impact.",chat,free,security,0.265,1371,low
TCKT-00043,Enterprise customer reports data loss after migration.,phone,enterprise,billing,-0.499,599,high
TCKT-00417,Export file is missing some recent records.,web,premium,security,-0.29,1130,medium
TCKT-00262,Export file is missing some recent records.,chat,standard,login,-0.186,1509,medium
TCKT-00409,Payment failed for one customer but retry worked later.,chat,enterprise,login,-0.112,59,low
TCKT-00278,Integration stopped syncing for one workspace. Customer impact is increasing.,email,premium,billing,0.199,51,medium
TCKT-00570,Payment failed for one customer but retry worked later. Please respond as soon as possible. Customer impact is increasing.,chat,standard,login,0.146,2152,medium
TCKT-00382,Security incident with suspicious account access. Customer impact is increasing.,phone,enterprise,integrations,-0.919,2179,low
TCKT-00412,Integration stopped syncing for one workspace.,web,standard,performance,-0.487,1135,medium
TCKT-00155,Payment failed for one customer but retry worked later.,web,standard,billing,-0.223,1132,high
TCKT-00127,User cannot reset password after multiple attempts.,web,standard,integrations,-0.338,1831,medium
TCKT-00310,Where can I see the product documentation?,email,standard,billing,0.114,614,low
TCKT-00520,Payment processing is down for all regions.,email,standard,payments,-0.175,968,high
TCKT-00446,User cannot reset password after multiple attempts.,email,standard,login,-0.08,1991,medium
TCKT-00175,Payment processing is down for all regions.,chat,premium,performance,-0.783,1385,high
TCKT-00032,"Minor typo in the help page, no urgent impact.",chat,standard,billing,0.873,209,medium
TCKT-00114,Integration stopped syncing for one workspace.,chat,premium,performance,0.161,1299,medium
TCKT-00024,Export file is missing some recent records. Please respond as soon as possible.,phone,free,billing,-0.466,1528,medium
TCKT-00174,Payment failed for one customer but retry worked later.,web,free,login,0.085,436,medium
TCKT-00558,Integration stopped syncing for one workspace.,web,standard,payments,-0.525,544,medium
TCKT-00067,Export file is missing some recent records.,phone,enterprise,billing,-0.176,1053,medium
TCKT-00058,Export file is missing some recent records.,chat,free,login,-0.697,37,medium
TCKT-00322,Payment processing is down for all regions.,email,enterprise,security,-0.405,264,high
TCKT-00223,Question about updating my profile picture.,email,standard,payments,0.242,311,low
TCKT-00018,Where can I see the product documentation?,web,free,billing,0.337,1480,low
TCKT-00300,"Minor typo in the help page, no urgent impact.",email,free,integrations,0.222,2115,low
TCKT-00256,Payment processing is down for all regions.,email,standard,security,-0.746,2189,high
TCKT-00306,Payment processing is down for all regions. Customer impact is increasing.,chat,enterprise,security,-0.336,1797,high
TCKT-00574,Enterprise customer reports data loss after migration.,phone,enterprise,integrations,-1.0,1478,high
TCKT-00191,How can I change my notification settings?,web,free,performance,0.094,769,medium
TCKT-00319,Question about updating my profile picture. Please respond as soon as possible.,chat,free,billing,0.216,1086,low
TCKT-00528,How can I change my notification settings? Please respond as soon as possible.,email,standard,payments,0.368,985,low
TCKT-00272,User cannot reset password after multiple attempts. Please respond as soon as possible.,web,premium,billing,-0.36,880,medium
TCKT-00095,Critical API errors affecting premium customers.,chat,enterprise,security,-0.841,2008,high
TCKT-00181,Enterprise customer reports data loss after migration.,chat,enterprise,login,-0.593,2184,high
TCKT-00332,Integration stopped syncing for one workspace. Customer impact is increasing.,chat,standard,performance,-0.324,158,medium
TCKT-00329,Question about updating my profile picture. Customer impact is increasing.,chat,premium,integrations,0.216,1497,low
TCKT-00312,Integration stopped syncing for one workspace.,phone,free,integrations,0.224,625,medium
TCKT-00006,Critical API errors affecting premium customers. Customer impact is increasing.,email,enterprise,security,-0.495,855,high
TCKT-00046,Where can I see the product documentation? Customer impact is increasing.,email,free,login,0.184,2198,low
TCKT-00399,Export file is missing some recent records. Please respond as soon as possible. Customer impact is increasing.,email,standard,performance,-0.318,488,medium
TCKT-00577,Integration stopped syncing for one workspace. Please respond as soon as possible.,email,premium,billing,-0.1,959,medium
TCKT-00469,Payment failed for one customer but retry worked later.,chat,standard,performance,0.936,929,medium
TCKT-00017,Question about updating my profile picture.,web,free,security,0.147,1818,medium
TCKT-00049,I need help finding the invoice download button.,email,standard,login,0.325,39,low
TCKT-00580,I need help finding the invoice download button.,email,free,integrations,0.393,208,low
TCKT-00488,How can I change my notification settings?,phone,standard,billing,0.434,641,low
TCKT-00004,Question about updating my profile picture.,chat,standard,login,0.458,343,low
TCKT-00487,User cannot reset password after multiple attempts.,web,standard,integrations,-0.156,1665,medium
TCKT-00439,Question about updating my profile picture. Customer impact is increasing.,email,standard,login,0.249,1098,low
TCKT-00363,Integration stopped syncing for one workspace. Please respond as soon as possible.,email,free,billing,0.231,1845,high
TCKT-00434,Question about updating my profile picture.,chat,standard,integrations,0.108,222,low
TCKT-00303,I need help finding the invoice download button. Please respond as soon as possible.,chat,free,integrations,0.471,1176,low
TCKT-00226,Dashboard is slow and several charts time out.,web,free,payments,0.018,1681,medium
TCKT-00027,User cannot reset password after multiple attempts. Please respond as soon as possible.,email,standard,performance,-0.005,1727,medium
TCKT-00425,Where can I see the product documentation?,chat,enterprise,security,0.306,1750,low
TCKT-00264,Question about updating my profile picture.,phone,free,security,0.227,758,medium
TCKT-00051,How can I change my notification settings?,chat,standard,login,0.217,549,low
TCKT-00230,Export file is missing some recent records. Customer impact is increasing.,email,premium,billing,-0.248,2148,medium
TCKT-00038,Where can I see the product documentation? Please respond as soon as possible.,web,premium,security,0.805,982,low
TCKT-00158,I need help finding the invoice download button. Please respond as soon as possible. Customer impact is increasing.,chat,premium,integrations,0.374,195,low
TCKT-00238,Enterprise customer reports data loss after migration. Customer impact is increasing.,phone,enterprise,security,-0.979,1695,high
TCKT-00575,Question about updating my profile picture.,email,standard,login,0.36,1411,low
TCKT-00176,"Minor typo in the help page, no urgent impact.",email,premium,performance,0.149,135,low
TCKT-00515,Enterprise customer reports data loss after migration. Please respond as soon as possible.,phone,enterprise,payments,-0.516,363,high
TCKT-00358,Question about updating my profile picture. Please respond as soon as possible.,web,free,payments,0.284,1579,low
TCKT-00195,Payment processing is down for all regions. Please respond as soon as possible.,email,standard,integrations,-0.682,2028,high
TCKT-00504,Export file is missing some recent records. Please respond as soon as possible.,email,standard,security,-0.503,1694,medium
TCKT-00579,Integration stopped syncing for one workspace.,chat,premium,billing,-0.17,2140,medium
TCKT-00512,Question about updating my profile picture.,email,standard,billing,0.316,433,low
TCKT-00068,Export file is missing some recent records.,email,premium,performance,-0.351,970,medium
TCKT-00320,"Minor typo in the help page, no urgent impact. Please respond as soon as possible.",chat,enterprise,billing,0.352,865,low
TCKT-00169,Export file is missing some recent records. Please respond as soon as possible.,email,standard,login,0.133,844,medium
TCKT-00368,Payment processing is down for all regions.,chat,premium,integrations,-0.887,1065,high
TCKT-00163,Where can I see the product documentation? Please respond as soon as possible. Customer impact is increasing.,chat,standard,performance,0.282,612,low
TCKT-00194,Payment failed for one customer but retry worked later.,chat,free,integrations,0.207,1410,medium
TCKT-00153,Dashboard is slow and several charts time out. Please respond as soon as possible.,web,free,performance,0.028,946,medium
